# goAML FIU-Portal – Einreichungsprotokoll Musterbank AG
# BLZ 500 123 45 | Exportiert: 2025-01-02
# Zeitraum: 01.01.2024 – 31.12.2024

SAR_REF              EINGANG_INTERN  EINREICHUNG_FIU  BEARBEITUNGSZEIT  STATUS          FIU_BESTÄTIGUNG
----------------------------------------------------------------------------------------------------
SAR-2024-1000      2024-05-13  2024-05-16           3 Tage              EINGEREICHT     goAML-825862
SAR-2024-1001      2024-05-07  2024-05-09           2 Tage              EINGEREICHT     goAML-815081
SAR-2024-1002      2024-06-02  2024-06-06           4 Tage              EINGEREICHT     goAML-873124
SAR-2024-1003      2024-11-13  2024-11-15           2 Tage              EINGEREICHT     goAML-819067
SAR-2024-1004      2024-10-15  2024-10-16           1 Tage              EINGEREICHT     goAML-836692
SAR-2024-1005      2024-01-19  2024-01-23           4 Tage              EINGEREICHT     goAML-822633
SAR-2024-1006      2024-04-11  2024-04-15           4 Tage              EINGEREICHT     goAML-823969
SAR-2024-1007      2024-06-22  2024-06-25           3 Tage              EINGEREICHT     goAML-815375
SAR-2024-1008      2024-02-18  2024-02-21           3 Tage              EINGEREICHT     goAML-869988
SAR-2024-1009      2024-09-01  2024-09-03           2 Tage              EINGEREICHT     goAML-829569
SAR-2024-1010      2024-04-12  2024-04-13           1 Tage              EINGEREICHT     goAML-810610
SAR-2024-1011      2024-04-16  2024-04-20           4 Tage              EINGEREICHT     goAML-878029
SAR-2024-1012      2024-10-06  2024-10-07           1 Tage              EINGEREICHT     goAML-813086
SAR-2024-1013      2024-04-22  2024-04-25           3 Tage              EINGEREICHT     goAML-811503
SAR-2024-1014      2024-02-22  2024-02-26           4 Tage              EINGEREICHT     goAML-810398
SAR-2024-1015      2024-10-06  2024-10-07           1 Tage              EINGEREICHT     goAML-835641
SAR-2024-1016      2024-08-19  2024-08-20           1 Tage              EINGEREICHT     goAML-846060
SAR-2024-1017      2024-10-02  2024-10-03           1 Tage              EINGEREICHT     goAML-852962
SAR-2024-1018      2024-10-29  2024-10-31           2 Tage              EINGEREICHT     goAML-828725
SAR-2024-1019      2024-10-24  2024-10-28           4 Tage              EINGEREICHT     goAML-852775
SAR-2024-1020      2024-03-15  2024-03-19           4 Tage              EINGEREICHT     goAML-801676
SAR-2024-1021      2024-01-22  2024-01-23           1 Tage              EINGEREICHT     goAML-864987
SAR-2024-1022      2024-11-23  2024-11-24           1 Tage              EINGEREICHT     goAML-897758
SAR-2024-1023      2024-07-06  2024-07-10           4 Tage              EINGEREICHT     goAML-815453
SAR-2024-1024      2024-05-15  2024-05-19           4 Tage              EINGEREICHT     goAML-807334
SAR-2024-1025      2024-12-03  2024-12-07           4 Tage              EINGEREICHT     goAML-890695
SAR-2024-1026      2024-12-05  2024-12-06           1 Tage              EINGEREICHT     goAML-819321
SAR-2024-1027      2024-06-05  2024-06-06           1 Tage              EINGEREICHT     goAML-802250
SAR-2024-1028      2024-09-09  2024-09-12           3 Tage              EINGEREICHT     goAML-898403
SAR-2024-1029      2024-08-04  2024-08-05           1 Tage              EINGEREICHT     goAML-808152
SAR-2024-1030      2024-09-07  2024-09-09           2 Tage              EINGEREICHT     goAML-899697
SAR-2024-1031      2024-01-18  2024-01-19           1 Tage              EINGEREICHT     goAML-831444
SAR-2024-1032      2024-02-19  2024-02-23           4 Tage              EINGEREICHT     goAML-814870
SAR-2024-1033      2024-07-22  2024-07-26           4 Tage              EINGEREICHT     goAML-813515
SAR-2024-1034      2024-03-14  2024-03-16           2 Tage              EINGEREICHT     goAML-834278
SAR-2024-1035      2024-04-21  2024-04-22           1 Tage              EINGEREICHT     goAML-821171
SAR-2024-1036      2024-03-29  2024-03-31           2 Tage              EINGEREICHT     goAML-803289
SAR-2024-1037      2024-01-30  2024-02-01           2 Tage              EINGEREICHT     goAML-887873
SAR-2024-1038      2024-09-17  2024-09-21           4 Tage              EINGEREICHT     goAML-875570
SAR-2024-1039      2024-11-07  2024-11-11           4 Tage              EINGEREICHT     goAML-864162
SAR-2024-1040      2024-09-20  2024-09-23           3 Tage              EINGEREICHT     goAML-878415
SAR-2024-1041      2024-02-26  2024-03-01           4 Tage              EINGEREICHT     goAML-881498
SAR-2024-1042      2024-08-04  2024-08-07           3 Tage              EINGEREICHT     goAML-870903
SAR-2024-1043      2024-05-25  2024-05-28           3 Tage              EINGEREICHT     goAML-859472
SAR-2024-1044      2024-04-10  2024-04-11           1 Tage              EINGEREICHT     goAML-877573
SAR-2024-1045      2024-09-10  2024-09-11           1 Tage              EINGEREICHT     goAML-804672
SAR-2024-1046      2024-01-14  2024-01-16           2 Tage              EINGEREICHT     goAML-801156
SAR-2024-1047      2024-02-20  2024-02-21           1 Tage              EINGEREICHT     goAML-866898
SAR-2024-1048      2024-04-18  2024-04-19           1 Tage              EINGEREICHT     goAML-855727
SAR-2024-1049      2024-03-29  2024-03-30           1 Tage              EINGEREICHT     goAML-887049
SAR-2024-1050      2024-07-19  2024-07-22           3 Tage              EINGEREICHT     goAML-860325
SAR-2024-1051      2024-09-11  2024-09-15           4 Tage              EINGEREICHT     goAML-825427
SAR-2024-1052      2024-12-02  2024-12-06           4 Tage              EINGEREICHT     goAML-832903
SAR-2024-1053      2024-05-29  2024-05-30           1 Tage              EINGEREICHT     goAML-868631
SAR-2024-1054      2024-06-18  2024-06-21           3 Tage              EINGEREICHT     goAML-825405
SAR-2024-1055      2024-05-27  2024-05-30           3 Tage              EINGEREICHT     goAML-898940
SAR-2024-1056      2024-12-18  2024-12-22           4 Tage              EINGEREICHT     goAML-898204
SAR-2024-1057      2024-12-05  2024-12-09           4 Tage              EINGEREICHT     goAML-866102
SAR-2024-1058      2024-10-04  2024-10-08           4 Tage              EINGEREICHT     goAML-833411
SAR-2024-1059      2024-07-16  2024-07-19           3 Tage              EINGEREICHT     goAML-810340
SAR-2024-1060      2024-05-24  2024-05-25           1 Tage              EINGEREICHT     goAML-819010
SAR-2024-1061      2024-03-15  2024-03-18           3 Tage              EINGEREICHT     goAML-891230
SAR-2024-1062      2024-01-30  2024-02-01           2 Tage              EINGEREICHT     goAML-877183
SAR-2024-1063      2024-11-19  2024-11-20           1 Tage              EINGEREICHT     goAML-869167
SAR-2024-1064      2024-01-16  2024-01-17           1 Tage              EINGEREICHT     goAML-883815
SAR-2024-1065      2024-12-24  2024-12-26           2 Tage              EINGEREICHT     goAML-835512
SAR-2024-1066      2024-03-27  2024-03-30           3 Tage              EINGEREICHT     goAML-807927
SAR-2024-1067      2024-12-17  2024-12-21           4 Tage              EINGEREICHT     goAML-811357
SAR-2024-1068      2024-06-06  2024-06-07           1 Tage              EINGEREICHT     goAML-847124
